Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Cole Wick (13041115),Cole Wick,13041115,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0
TE,Anthony Firkser (13041307),Anthony Firkser,13041307,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,3.96
TE,James Winchester (13040722),James Winchester,13040722,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Blake Bell (13040781),Blake Bell,13040781,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,1.47
TE,James O'Shaughnessy (13040794),James O'Shaughnessy,13040794,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,3.24
TE,Ben Koyack (13040969),Ben Koyack,13040969,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,David Wells (13041230),David Wells,13041230,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Deon Yelder (13041282),Deon Yelder,13041282,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Michael Colubiale (13041297),Michael Colubiale,13041297,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Ethan Wolf (13041339),Ethan Wolf,13041339,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Charles Jones (13041348),Charles Jones,13041348,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Donnie Ernsberger (13041558),Donnie Ernsberger,13041558,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Nick Keizer (13041861),Nick Keizer,13041861,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Jody Fortson (13041885),Jody Fortson,13041885,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Dwayne Allen (13040705),Dwayne Allen,13040705,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0.36
TE,Clive Walford (13040808),Clive Walford,13040808,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0
TE,Nick O'Leary (13040921),Nick O'Leary,13040921,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,1.88
TE,Nick Boyle (13040963),Nick Boyle,13040963,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,2.61
TE,Durham Smythe (13041274),Durham Smythe,13041274,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0.73
TE,Cole Herdman (13041423),Cole Herdman,13041423,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,0
TE,Charles Scarff (13041529),Charles Scarff,13041529,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,0
TE,Chris Myarick (13041533),Chris Myarick,13041533,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0
TE,Matt Orzech (13041865),Matt Orzech,13041865,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,0
TE,Logan Paulsen (13040620),Logan Paulsen,13040620,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,1.61
TE,Luke Stocker (13040635),Luke Stocker,13040635,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,2.72
TE,Kevin McDermott (13040707),Kevin McDermott,13040707,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Alex Gray (13040771),Alex Gray,13040771,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
TE,David Morgan (13040975),David Morgan,13040975,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0.78
TE,Eric Saubert (13041062),Eric Saubert,13041062,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0.61
TE,Cole Hikutini (13041097),Cole Hikutini,13041097,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Jaeden Graham (13041439),Jaeden Graham,13041439,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
TE,Tyler Conklin (13041570),Tyler Conklin,13041570,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0.79
TE,Brandon Dillon (13041877),Brandon Dillon,13041877,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Lee Smith (13040633),Lee Smith,13040633,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,2.21
TE,Eric Tomlinson (13040816),Eric Tomlinson,13040816,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,1.01
TE,Daniel Brown (13040840),Daniel Brown,13040840,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
TE,Jason Croom (13041013),Jason Croom,13041013,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,3.86
TE,Keith Towbridge (13041193),Keith Towbridge,13041193,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Bucky Hodges (13041200),Bucky Hodges,13041200,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
TE,Nate Becker (13041427),Nate Becker,13041427,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Chris Herndon (13041432),Chris Herndon,13041432,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,7.08
TE,Tommy Sweeney (13041491),Tommy Sweeney,13041491,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Dawson Knox (13041712),Dawson Knox,13041712,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Trevon Wesco (13041787),Trevon Wesco,13041787,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
DST,Redskins  (13040586),Redskins ,13040586,DST,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,7.5
TE,Will Tye (13040806),Will Tye,13040806,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
